Date,p_IBM,p_SPX,r_f
10/1/2014,164.4,2018.05,0.000885833
11/1/2014,162.17,2067.56,0.0013675
12/1/2014,160.44,2058.9,0.001635833
1/1/2015,153.31,1994.99,0.000400833
2/27/2015,161.94,2104.5,0.000883333
3/1/2015,160.5,2067.89,0.001881667
4/1/2015,171.29,2085.51,0.000301667
5/1/2015,169.65,2107.39,-0.0001425
6/1/2015,162.66,2063.11,8.67E-05
7/1/2015,161.99,2103.84,0.004688333
8/1/2015,147.89,1972.18,0.0050325
9/1/2015,144.97,1920.03,0.000426667
10/1/2015,140.08,2079.36,0.004830833
11/1/2015,139.42,2080.41,0.012936667
12/1/2015,137.62,2043.94,0.015428333
1/1/2016,124.79,1940.24,0.0251475
2/1/2016,131.03,1932.23,0.026249167
3/1/2016,151.45,2059.74,0.017558333
4/1/2016,145.94,2065.3,0.017025
5/1/2016,153.74,2096.96,0.026276667
6/1/2016,151.78,2098.86,0.018615833
7/1/2016,160.62,2173.6,0.020373333
8/1/2016,158.88,2170.95,0.025451667
9/1/2016,158.85,2168.27,0.020266667
10/1/2016,153.69,2126.15,0.024571667
11/1/2016,162.22,2198.81,0.037935
12/1/2016,165.99,2238.83,0.042195833
1/1/2017,174.52,2278.87,0.040555
2/1/2017,179.82,2363.64,0.044419167
3/1/2017,174.14,2362.72,0.061384167
4/1/2017,160.29,2384.2,0.06448
5/1/2017,152.63,2411.8,0.076878333
